# Constructed from biom file
#OTU ID	SRR12228669	SRR12228670	SRR12228671	SRR12228672	SRR12228673	SRR12228674	SRR12228675	SRR12228677	SRR12228678	SRR12228679	SRR12228680	SRR12228681	SRR12228682	SRR12228683	SRR12228684	SRR12228685	SRR12228686	SRR12228687	SRR12228688	SRR12228689	SRR12228690	SRR12228691	SRR12228692	SRR12228693	SRR12228694	SRR12228695	SRR12228696	SRR12228698	SRR12228699	SRR12228700	SRR12228701	SRR12228702	SRR12228703	SRR12228704	SRR12228705	SRR12228706	SRR12228707	SRR12228709	SRR12228710	SRR12228711	SRR12228712	SRR12228713	SRR12228714
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	8013.0	368.0	397.0	90.0	246.0	119.0	96.0	5932.0	2536.0	250.0	1117.0	137.0	1355.0	87.0	111.0	67.0	1080.0	2937.0	195.0	377.0	430.0	1103.0	773.0	1738.0	36.0	1774.0	803.0	174.0	231.0	116.0	46.0	241.0	8950.0	5580.0	28.0	292.0	218.0	112.0	1515.0	0.0	85.0	117.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0.0	572.0	128.0	0.0	25.0	0.0	42.0	24.0	203.0	167.0	29.0	38.0	0.0	300.0	37.0	13.0	0.0	124.0	93.0	23.0	82.0	106.0	0.0	43.0	33.0	0.0	207.0	81.0	46.0	0.0	0.0	26.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	11.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Filifactor	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	25.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.0	0.0	0.0	0.0	38.0	0.0	19.0	0.0	6.0	36.0	0.0	11.0	0.0	0.0	0.0	0.0	36.0	0.0	21.0	0.0	0.0	0.0	0.0	19.0	191.0	0.0	0.0	31.0	0.0	26.0	0.0	19.0	0.0	111.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	0.0	139.0	0.0	0.0	28.0	0.0	0.0	0.0	31.0	26.0	0.0	19.0	12.0	0.0	0.0	0.0	0.0	59.0	1873.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	298.0	30.0	105.0	26.0	83.0	0.0	121.0	180.0	716.0	28.0	25.0	0.0	217.0	91.0	0.0	478.0	59.0	0.0	92.0	338.0	43.0	0.0	100.0	0.0	0.0	86.0	366.0	27.0	26.0	21.0	38.0	44.0	0.0	90.0	9.0	14.0	0.0	0.0	286.0	160.0	0.0	43.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_saphenum_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	4118.0	0.0	797.0	0.0	0.0	41.0	28.0	762.0	18.0	35.0	7044.0	7901.0	2932.0	0.0	23.0	8547.0	579.0	35.0	68490.0	47.0	12.0	0.0	285.0	3022.0	340.0	30.0	2777.0	205.0	10394.0	47.0	7944.0	26.0	5536.0	1531.0	0.0	0.0	0.0	0.0	235.0	9622.0	7038.0	284.0	8410.0
