# Constructed from biom file
#OTU ID	ERR2850005	ERR2850006	ERR2850008	ERR2850009	ERR2850010	ERR2850013	ERR2850014	ERR2850015	ERR2850016	ERR2850017	ERR2850019	ERR2850020	ERR2850021	ERR2850022	ERR2850023	ERR2850024	ERR2850025	ERR2850026	ERR2850030	ERR2850031	ERR2850032	ERR2850035	ERR2850036	ERR2850037	ERR2850038	ERR2850039	ERR2850040	ERR2850041	ERR2850043	ERR2850044	ERR2850046	ERR2850047	ERR2850048	ERR2850049	ERR2850051	ERR2850052	ERR2850054	ERR2850058	ERR2850059	ERR2850060
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	19.0	0.0	6.0	37.0	0.0	0.0	0.0	951.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	6.0	0.0	0.0	0.0	1242.0	0.0	0.0	0.0	20.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	3.0	1053.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	8.0	16.0	7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;__	0.0	0.0	0.0	0.0	25.0	0.0	0.0	8.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1381.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	10.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__	2064.0	11.0	0.0	2060.0	0.0	0.0	0.0	0.0	37.0	70.0	111.0	121.0	34.0	0.0	184.0	0.0	0.0	0.0	4.0	0.0	1246.0	9.0	4.0	13584.0	0.0	53.0	0.0	240.0	189.0	258.0	7.0	380.0	0.0	0.0	896.0	0.0	0.0	263.0	5.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Turicella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	10.0	0.0	0.0	0.0	0.0	15.0	8.0	0.0	6.0	0.0	29.0	17.0	198.0	0.0	13.0	0.0	0.0	2.0	0.0	0.0	9.0	11.0	342.0	0.0	0.0	23.0	4.0	5.0	0.0	0.0	4.0	19.0	8.0	7.0	0.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	9.0	8.0	0.0	28.0	19.0	27.0	0.0	0.0	5.0	1308.0	8.0	409.0	9.0	0.0	415.0	0.0	0.0	15.0	9.0	0.0	5.0	33.0	12.0	41080.0	0.0	14.0	0.0	38.0	662.0	0.0	3.0	11952.0	37.0	32.0	1230.0	14.0	0.0	175.0	65.0	84.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0.0	0.0	0.0	372.0	0.0	0.0	0.0	11.0	0.0	71.0	0.0	0.0	0.0	846.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	57.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	876.0	0.0	7.0	0.0	779.0
