# Constructed from biom file
#OTU ID	ERR2206632	ERR2206633	ERR2206636	ERR2206637	ERR2206638	ERR2206639	ERR2206640	ERR2206642	ERR2206644	ERR2206645	ERR2206646	ERR2206647	ERR2206648	ERR2206649	ERR2206650	ERR2206651	ERR2206652	ERR2206653	ERR2206668	ERR2206669	ERR2206670	ERR2206671	ERR2206672
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	1182.0	737.0	494.0	1059.0	1571.0	710.0	2942.0	0.0	1447.0	66.0	323.0	1584.0	418.0	744.0	857.0	397.0	287.0	152.0	3609.0	584.0	0.0	4197.0	1970.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	88.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	64.0	0.0	224.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	251.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__uncultured	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1085.0	395.0	0.0	429.0	0.0	0.0	0.0	4.0	0.0	2629.0	632.0	957.0	0.0	509.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	60.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	1529.0	0.0	111.0	0.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	424.0	657.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;__	58.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	961.0	0.0	125.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya	464.0	98.0	0.0	967.0	0.0	0.0	960.0	147.0	0.0	453.0	0.0	0.0	0.0	0.0	448.0	0.0	343.0	117.0	0.0	597.0	1592.0	23.0	331.0
