# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__	25751.0	24517.0	29453.0	30834.0	6762.0	25169.0	4682.0	20005.0	8494.0	2157.0	11219.0	9609.0	1602.0	4518.0	6657.0	22988.0	20349.0	3011.0	12691.0	12366.0	21034.0	9535.0	3515.0	5741.0	10385.0	15535.0	7084.0	34928.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	23842.0	4592.0	8716.0	7141.0	7589.0	15800.0	1274.0	9106.0	12771.0	7452.0	1981.0	6325.0	16088.0	9259.0	6698.0	1599.0	12131.0	8827.0	1457.0	5515.0	1541.0	6304.0	4890.0	19516.0	6459.0	12166.0	21147.0	9674.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	734.0	15.0	0.0	0.0	0.0	18.0	8.0	14.0	0.0	6.0	7.0	0.0	0.0	5.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	75.0	29.0	0.0	32.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	496.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	3.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	38.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella	0.0	209.0	0.0	220.0	428.0	917.0	1446.0	696.0	2872.0	181.0	163.0	98.0	692.0	64.0	734.0	726.0	876.0	93.0	1769.0	163.0	115.0	1949.0	1103.0	373.0	318.0	318.0	652.0	5155.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	0.0	0.0	7992.0	9150.0	17640.0	1350.0	10781.0	1864.0	912.0	2112.0	2229.0	2411.0	1195.0	3522.0	4503.0	11010.0	5731.0	2065.0	3187.0	3901.0	1583.0	5015.0	2461.0	12882.0	2658.0	3319.0	3477.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	0.0	242.0	33.0	149.0	135.0	928.0	115.0	203.0	50.0	848.0	123.0	62.0	11.0	131.0	5189.0	45.0	7.0	438.0	71.0	309.0	23.0	1882.0	315.0	75.0	189.0	0.0	2114.0
