# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	614.0	280.0	711.0	192.0	378.0	278.0	67.0	304.0	413.0	463.0	167.0	375.0	403.0	683.0	269.0	57.0	372.0	757.0	74.0	297.0	111.0	420.0	94.0	862.0	432.0	398.0	524.0	242.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella	0.0	13.0	0.0	8.0	25.0	13.0	74.0	19.0	113.0	13.0	15.0	6.0	20.0	2.0	29.0	29.0	22.0	8.0	102.0	11.0	9.0	131.0	19.0	13.0	21.0	10.0	13.0	138.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	0.0	0.0	199.0	484.0	321.0	65.0	334.0	50.0	54.0	180.0	137.0	66.0	97.0	132.0	174.0	360.0	524.0	106.0	163.0	280.0	97.0	105.0	93.0	784.0	68.0	82.0	86.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	0.0	16.0	0.0	4.0	2.0	57.0	5.0	2.0	4.0	71.0	4.0	1.0	1.0	5.0	194.0	2.0	0.0	25.0	6.0	13.0	1.0	49.0	19.0	5.0	5.0	0.0	58.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
