# Constructed from biom file
#OTU ID	SRR30981348	SRR30981410	SRR30981439	SRR30981452	SRR30981467	SRR30981488	SRR30981503	SRR30981517	SRR30981562	SRR30981587	SRR30981621	SRR30981638	SRR30981703	SRR30981744	SRR30981760	SRR30981777	SRR30981790	SRR30981808	SRR30981832	SRR30981844	SRR30981860	SRR30981871	SRR30981887	SRR30981919	SRR30981932	SRR30981936	SRR30981982	SRR30981995	SRR30982141	SRR30982149	SRR30982207	SRR30982221	SRR30982234	SRR30982270	SRR30982284	SRR30982315	SRR30983301	SRR30983323	SRR30983338	SRR30983363	SRR30983377	SRR30983390	SRR30983399	SRR30983439	SRR30983446	SRR30983463	SRR30983478	SRR30983492	SRR30983508	SRR30983517	SRR30983527	SRR30983538	SRR30983552	SRR30983576	SRR30983591	SRR30983627	SRR30983637
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	150.0	128.0	333.0	42.0	0.0	114.0	684.0	0.0	0.0	256.0	163.0	408.0	36.0	505.0	569.0	346.0	782.0	4.0	580.0	2.0	4.0	0.0	0.0	24.0	95.0	8.0	0.0	228.0	0.0	43.0	0.0	938.0	0.0	21.0	0.0	414.0	64.0	72.0	0.0	3.0	11.0	0.0	0.0	83.0	0.0	2.0	63.0	0.0	0.0	0.0	12.0	0.0	12.0	13.0	0.0	5.0	12.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	24.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	12.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	8.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	42.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	58.0	68.0	0.0	21.0	0.0	0.0	40.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	44.0	35.0	0.0	23.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	220.0	95.0	180.0	45.0	164.0	11.0	78.0	0.0	0.0	245.0	98.0	60.0	141.0	282.0	330.0	324.0	433.0	4.0	452.0	64.0	0.0	15.0	15.0	11.0	0.0	0.0	18.0	0.0	48.0	0.0	318.0	483.0	0.0	0.0	0.0	338.0	9.0	28.0	328.0	0.0	16.0	43.0	48.0	33.0	0.0	222.0	0.0	0.0	1269.0	61.0	18.0	124.0	17.0	20.0	0.0	54.0	113.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.0	39.0	29.0	0.0	0.0	0.0	16.0	24.0	22.0	0.0	0.0	15.0	19.0	0.0	0.0	0.0	0.0	0.0	18.0	9.0	0.0	13.0	38.0	0.0	0.0	0.0	0.0	0.0	11.0	18.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	16.0	69.0	46.0	19.0	0.0	6.0	95.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	12.0	0.0	20.0	0.0	0.0	19.0	0.0	16.0	36.0	12.0	0.0	0.0	89.0	129.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	36.0	9.0	0.0	0.0	49.0	0.0	66.0	0.0	0.0	45.0	34.0	10.0	0.0	37.0	42.0	15.0	0.0	30.0	0.0	45.0	22.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella	23.0	7.0	62.0	0.0	0.0	0.0	80.0	0.0	0.0	48.0	46.0	12233.0	19.0	103.0	119.0	82.0	102.0	0.0	115.0	0.0	0.0	0.0	16.0	8701.0	0.0	11740.0	0.0	591.0	38.0	0.0	93.0	1034.0	0.0	0.0	0.0	87.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	892.0	140.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Simonsiella	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	34.0	49.0	123.0	53.0	31.0	0.0	57.0	0.0	0.0	0.0	62.0	11.0	15.0	119.0	111.0	49.0	175.0	0.0	152.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	9.0	30.0	36.0	167.0	175.0	0.0	0.0	0.0	47.0	0.0	22.0	0.0	4.0	21.0	0.0	31.0	18.0	0.0	41.0	39.0	0.0	510.0	80.0	56.0	38.0	0.0	9.0	0.0	47.0	76.0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	41.0	0.0	64.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	11.0	0.0	9.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	746.0	18.0	98.0	0.0	66.0	82.0	114.0	0.0	0.0	0.0	30.0	409.0	214.0	0.0	0.0	0.0	34.0	53.0	44.0	51.0	0.0	161.0	19.0	38.0	0.0	0.0	148.0	0.0	44.0	42.0	0.0	18.0	1895.0	0.0	8.0	0.0	2.0	194.0	710.0	234.0	122.0	0.0	94.0	63.0	803.0	48.0	18.0	38.0	0.0	28.0	0.0	13.0	10.0	61.0	0.0	53.0	28.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	5004.0	10938.0	911.0	9530.0	8245.0	6489.0	2547.0	11178.0	1197.0	2100.0	846.0	10848.0	6744.0	1717.0	1760.0	1408.0	5569.0	5197.0	2206.0	282.0	2106.0	10056.0	0.0	376.0	0.0	4019.0	236.0	2970.0	11188.0	182.0	2165.0	4039.0	2738.0	310.0	0.0	5741.0	9135.0	896.0	0.0	10693.0	593.0	13246.0	311.0	6955.0	16876.0	437.0	250.0	4279.0	0.0	3012.0	309.0	12168.0	26784.0	229.0	2801.0	6627.0	250.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	0.0	8.0	44.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	29.0	0.0	0.0	16.0	21.0	0.0	50.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	25.0	17.0	0.0	35.0	0.0	0.0	0.0	14.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	125.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	8.0	42.0	0.0	0.0	0.0	10.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	19.0	72.0	0.0	28.0	3.0	0.0	81.0	50.0	0.0	0.0	50.0	59.0	69.0	9.0	37.0	0.0	14.0	77.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	62.0	46.0	113.0	0.0	18.0	62.0	371.0	16.0	0.0	0.0	27.0	40.0	58.0	92.0	0.0	0.0	155.0	0.0	138.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	40.0	0.0	103.0	213.0	0.0	0.0	0.0	0.0	8.0	18.0	142.0	15.0	154.0	17.0	120.0	13.0	0.0	82.0	38.0	0.0	676.0	85.0	63.0	276.0	0.0	46.0	32.0	74.0	147.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas	0.0	0.0	71.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	6.0	26.0	73.0	55.0	58.0	90.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	73.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	0.0	24.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
