# Constructed from biom file
#OTU ID	ERR1939177	ERR1939179	ERR1939180	ERR1939181	ERR1939182	ERR1939185	ERR1939186	ERR1939187	ERR1939188	ERR1939189	ERR1939190	ERR1939192	ERR1939199	ERR1939200	ERR1939201	ERR1939203	ERR1939205	ERR1939209	ERR1939243	ERR1939244	ERR1939245	ERR1939247	ERR1939248	ERR1939249	ERR1939250
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	503.0	0.0	401.0	0.0	750.0	0.0	83.0	0.0	0.0	437.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	0.0	349.0	138.0	432.0	0.0	0.0	168.0	4339.0	0.0	1019.0	0.0	1078.0	119.0	0.0	896.0	0.0	1206.0	329.0	0.0	39.0	413.0	0.0	0.0	8069.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	1107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	669.0	0.0	0.0	42.0	0.0	0.0	625.0	0.0	1550.0	3276.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	0.0	5.0	137.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	312.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Azambacteria;f__Candidatus_Azambacteria;g__Candidatus_Azambacteria	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	25.0	0.0	0.0	0.0	0.0	0.0	0.0	275.0	1671.0	0.0	0.0	0.0	833.0	0.0	0.0	351.0	0.0	55.0	0.0	0.0	24.0	932.0	0.0	229.0	6532.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Schlegelella	0.0	0.0	41.0	0.0	0.0	0.0	0.0	161.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	0.0	0.0	0.0	626.0	0.0	434.0	10.0	0.0	200.0	0.0	0.0	210.0	113.0	0.0	29.0	0.0	0.0	34.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1);g__Absconditabacteriales_(SR1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6331.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.0	0.0	151.0	0.0	0.0	137.0	0.0	68.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.0	0.0	38.0	238.0	0.0	0.0	0.0	302.0	1273.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0	7237.0	456.0	0.0	0.0	949.0	0.0	0.0	7857.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	34462.0	817.0	3243.0	438.0	0.0	59.0	0.0	2387.0	281.0	970.0	654.0	55230.0	170.0	126.0	56244.0	0.0	3043.0	10.0	136.0	30.0	100.0	95.0	119.0	412.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	534.0	0.0	61.0	0.0	0.0	0.0	0.0	854.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	218.0	0.0	0.0	0.0
