# Constructed from biom file																																	
#OTU ID	SRR7949577	SRR7949582	SRR7949585	SRR7949590	SRR7949592	SRR7949598	SRR7949600	SRR7949604	SRR7949607	SRR7949609	SRR7949610	SRR7949612	SRR7949614	SRR7949615	SRR7949616	SRR7949617	SRR7949618	SRR7949619	SRR7949620	SRR7949621	SRR7949623	SRR7949626	SRR7949628	SRR7949629	SRR7949631	SRR7949633	SRR7949634	SRR7949635	SRR7949636	SRR7949641	SRR7949647	SRR79495901	SRR79495902
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	54	126	46	183	0	0	660	0	52	156	33	0	101	102	203	0	1735	0	149	1602	51	0	4	83	51	154	313	0	480	1954	504	92	801
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__	8504	305	0	154	0	28	0	336	226	224	343	0	1036	335	45	0	0	437	0	1359	0	0	0	495	0	60	528	0	9	85	0	77	680
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0	852	50	0	0	0	0	0	0	0	0	200	0	0	0	0	0	57	59	167	0	0	0	0	78	223	0	52	94	0	0	0	84
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Turicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	427	0	0	0	75	0	0	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Negativicoccus	0	0	0	0	0	93	406	0	0	0	147	0	0	0	0	0	0	0	0	348	0	0	28	0	0	0	0	0	541	0	25	0	174
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	21	0	0	0	0	0	0	0	23	0	0	0	0	0	0	47	11	11
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	53	96	68	0	0	0	0	318	0	0	0	329	0	312	234	505	0	0	0	0	0	233	0	109	311	0	0	165	417
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Wilmottia_Ant-Ph58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	28
