# Constructed from biom file
#OTU ID	SRR15147330	SRR15147331	SRR15147332	SRR15147333	SRR15147336	SRR15147338	SRR15147339	SRR15147340	SRR15147341	SRR15147343	SRR15147344	SRR15147346	SRR15147347	SRR15147349	SRR15147350	SRR15147351	SRR15147352	SRR15147353	SRR15147355	SRR15147356	SRR15147357	SRR15147358	SRR15147359	SRR15147360	SRR15147361	SRR15147363	SRR15147364	SRR15147366	SRR15147367	SRR15147368	SRR15147369	SRR15147370	SRR15147371	SRR15147372	SRR15147373	SRR15147374	SRR15147375	SRR15147376	SRR15147379	SRR15147380	SRR15147381	SRR15147382	SRR15147383	SRR15147384	SRR15147385	SRR15147386	SRR15147387	SRR15147388	SRR15147389	SRR15147390	SRR15147391	SRR15147392	SRR15147393	SRR15147394	SRR15147395
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Negativicoccus	0.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	745.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	110.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	420.0	1403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	619.0	128.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	482.0	0.0	0.0	967.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	247.0	0.0	0.0	982.0	0.0	24.0	156.0	0.0	333.0	0.0	3608.0	0.0	0.0	0.0	0.0	0.0	0.0	7156.0	0.0	97.0	301.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured	0.0	0.0	0.0	4309.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	1473.0	0.0	11293.0	20324.0	0.0	0.0	0.0	0.0	590.0	0.0	0.0	0.0	0.0	0.0	359.0	681.0	0.0	0.0	0.0	0.0	0.0	2753.0	0.0	0.0	4710.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	754.0	0.0	118.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	1174.0	0.0	954.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	437.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1252.0	0.0	86.0	0.0	0.0	238.0	0.0	569.0	63.0	374.0	0.0	0.0	0.0	0.0	2370.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	301.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2031.0	439.0	0.0	212.0	187.0	0.0	0.0	0.0	457.0	0.0	335.0	0.0	0.0	0.0	0.0	1212.0	0.0	307.0	0.0	0.0	195.0	860.0	0.0	0.0	278.0	122.0	0.0	0.0	0.0	3247.0	0.0	191.0	434.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3227.0	0.0	0.0	2010.0	0.0	0.0	0.0	2787.0	0.0	157.0	17066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	9267.0	91.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	1428.0	0.0	1613.0	2856.0	0.0	0.0	0.0	1202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__	564.0	4891.0	0.0	2168.0	0.0	4220.0	24686.0	18782.0	1279.0	0.0	1709.0	10005.0	546.0	2179.0	11147.0	1924.0	9115.0	480.0	0.0	2498.0	752.0	18457.0	12342.0	6345.0	10754.0	469.0	1990.0	24260.0	0.0	0.0	1923.0	0.0	1791.0	5257.0	0.0	490.0	0.0	600.0	1336.0	0.0	3338.0	0.0	0.0	0.0	8437.0	5215.0	491.0	2408.0	6116.0	2066.0	5217.0	6942.0	0.0	2833.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	407.0	0.0	0.0	0.0	0.0	0.0	0.0	726.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19262.0	0.0	0.0	23881.0	0.0	16024.0	0.0	0.0	0.0	0.0	0.0	91216.0	0.0	0.0	7323.0	0.0	0.0	3743.0	0.0	3150.0	23460.0	3378.0	0.0	65005.0	42585.0	4330.0	0.0	3563.0	0.0	0.0	0.0	11992.0	0.0	0.0	0.0	27426.0	0.0	3702.0	6778.0	0.0	8901.0	0.0	3065.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	285.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1810.0	0.0	0.0	0.0	0.0	787.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1062.0	0.0	0.0	1675.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	747.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__	0.0	0.0	4275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1340.0	0.0	0.0	0.0	0.0	0.0	0.0	3125.0	0.0	0.0	1743.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1714.0	0.0	558.0	0.0	0.0	0.0	0.0	1260.0	0.0	1471.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2019.0	0.0	0.0	0.0	4330.0	0.0	1625.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	434.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	3864.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	887.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.0	0.0	3381.0	0.0	0.0	0.0	0.0	0.0
