# Constructed from biom file
#OTU ID	SRR13070531	SRR13070532	SRR13070538	SRR13070540	SRR13070542	SRR13070543	SRR13070545	SRR13070546	SRR13070547	SRR13070548	SRR13070549	SRR13070550	SRR13070551	SRR13070552	SRR13070553	SRR13070554	SRR13070555	SRR13070556	SRR13070557	SRR13070559	SRR13070561	SRR13070562	SRR13070563	SRR13070564	SRR13070566	SRR13070569	SRR13070571	SRR13070572	SRR13070573	SRR13070576	SRR13070577	SRR13070578	SRR13070579	SRR13070580	SRR13070581	SRR13070582
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	396.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	108.0	0.0	0.0	24.0	0.0	0.0	6.0	105.0	57.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	2466.0	2869.0	8226.0	1909.0	388.0	96.0	7558.0	11607.0	56.0	11560.0	14468.0	57875.0	1102.0	77.0	6669.0	7681.0	13.0	279.0	14224.0	3866.0	23611.0	48898.0	765.0	0.0	2182.0	0.0	799.0	57028.0	2545.0	1129.0	7020.0	60341.0	15184.0	215.0	3232.0	436.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	3950.0	907.0	10616.0	42.0	152.0	8176.0	0.0	2283.0	1268.0	9718.0	39243.0	14732.0	541.0	16114.0	2166.0	1081.0	4366.0	4014.0	835.0	26885.0	820.0	2145.0	6497.0	37.0	20983.0	2245.0	1506.0	3328.0	20248.0	1983.0	6520.0	23526.0	4570.0	2508.0	62.0	5114.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	0.0	309.0	0.0	1190.0	206.0	0.0	1559.0	0.0	0.0	5383.0	1613.0	0.0	2025.0	0.0	312.0	2236.0	0.0	0.0	767.0	98.0	0.0	194.0	535.0	0.0	665.0	180.0	1532.0	5679.0	0.0	0.0	0.0	9872.0	1248.0	0.0	143.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	8.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	187.0	0.0	0.0	5.0	0.0	0.0	0.0	166.0	235.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	1267.0	3487.0	2439.0	8467.0	4759.0	5945.0	493.0	7172.0	11086.0	27117.0	30331.0	16938.0	9775.0	80.0	14850.0	36228.0	4844.0	3735.0	4464.0	15006.0	5128.0	6692.0	15460.0	101.0	1780.0	4933.0	5473.0	1420.0	8159.0	2314.0	1217.0	19437.0	207.0	1418.0	6519.0	2219.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	225.0	116.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	103.0	0.0	0.0	653.0	20.0	0.0	0.0	0.0	265.0	0.0	140.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	574.0	22.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
